,Temperature (K),Volume (angstrom^3),W Number,W Loading
57,373.0,318145725.6296296,2.8518518518518516,3.185185185185185e-05
58,373.0,318145725.6296296,2.8518518518518516,3.740740740740741e-05
59,373.0,318145725.6296296,2.8518518518518516,3.3703703703703706e-05
60,373.0,318145725.6296296,2.8518518518518516,3.074074074074074e-05
61,373.0,318145725.6296296,2.8518518518518516,3.555555555555555e-05
62,373.0,318145725.6296296,2.8518518518518516,3.074074074074074e-05
63,373.0,318145725.6296296,2.8518518518518516,3.3703703703703706e-05
64,373.0,162890611522.37036,2.8518518518518516,0.0
65,373.0,162890611522.37036,2.8518518518518516,0.0
66,373.0,162890611522.37036,2.8518518518518516,0.0
67,373.0,162890611522.37036,2.8518518518518516,0.0
68,373.0,162890611522.37036,2.8518518518518516,0.0
69,373.0,162890611522.37036,2.8518518518518516,0.0
70,373.0,162890611522.37036,2.8518518518518516,3.703703703703704e-07
71,373.0,162890611522.37036,2.8518518518518516,0.0
72,373.0,162890611522.37036,2.8518518518518516,0.0
73,373.0,162890611522.37036,2.8518518518518516,0.0
74,373.0,162890611522.37036,2.8518518518518516,0.0
75,373.0,162890611522.37036,2.8518518518518516,0.0
76,373.0,162890611522.37036,2.8518518518518516,3.703703703703704e-07
77,373.0,162890611522.37036,2.8518518518518516,0.0
78,373.0,162890611522.37036,2.8518518518518516,0.0
79,373.0,162890611522.37036,2.8518518518518516,0.0
80,373.0,162890611522.37036,2.8518518518518516,3.703703703703704e-07
81,373.0,162890611522.37036,2.8518518518518516,3.703703703703704e-07
82,373.0,162890611522.37036,2.8518518518518516,3.703703703703704e-07
83,373.0,162890611522.37036,2.8518518518518516,0.0
84,373.0,162890611522.37036,2.8518518518518516,0.0
85,373.0,162890611522.37036,2.8518518518518516,0.0
86,373.0,162890611522.37036,2.8518518518518516,0.0
87,373.0,162890611522.37036,2.8518518518518516,0.0
88,373.0,162890611522.37036,2.8518518518518516,0.0
89,373.0,162890611522.37036,2.8518518518518516,0.0
90,373.0,162890611522.37036,2.8518518518518516,0.0
91,373.0,162890611522.37036,2.8518518518518516,0.0
92,373.0,162890611522.37036,2.8518518518518516,0.0
93,373.0,162890611522.37036,2.8518518518518516,0.0
94,373.0,162890611522.37036,2.8518518518518516,0.0
95,373.0,162890611522.37036,2.8518518518518516,0.0
96,373.0,4096.0,2.8518518518518516,2.6480770370370372
97,373.0,4096.0,2.8518518518518516,2.637915185185185
98,373.0,4096.0,2.8518518518518516,2.6518044444444446
99,373.0,4096.0,2.8518518518518516,2.6521774074074074
100,373.0,4096.0,2.8518518518518516,2.6415648148148145
101,373.0,4096.0,2.8518518518518516,2.642287407407407
102,373.0,4096.0,2.8518518518518516,2.6406762962962964
103,373.0,4096.0,2.8518518518518516,2.6375844444444447
104,373.0,4096.0,2.8518518518518516,2.6531455555555556
105,373.0,4096.0,2.8518518518518516,2.6628577777777775
106,373.0,4096.0,2.8518518518518516,2.628427407407407
107,373.0,4096.0,2.8518518518518516,2.645335925925926
108,373.0,4096.0,2.8518518518518516,2.631012222222222
109,373.0,4096.0,2.8518518518518516,2.660924814814815
110,373.0,4096.0,2.8518518518518516,2.655504814814815
111,373.0,4096.0,2.8518518518518516,2.6161622222222225
112,373.0,4096.0,2.8518518518518516,2.6094951851851853
113,373.0,4096.0,2.8518518518518516,2.643621851851852
114,373.0,4096.0,2.8518518518518516,2.6465944444444442
115,373.0,4096.0,2.8518518518518516,2.654292962962963
116,373.0,4096.0,2.8518518518518516,2.654011111111111
117,373.0,4096.0,2.8518518518518516,2.658948518518519
118,373.0,4096.0,2.8518518518518516,2.650063703703704
119,373.0,4096.0,2.8518518518518516,2.637595925925926
120,373.0,4096.0,2.8518518518518516,2.650106666666667
121,373.0,4096.0,2.8518518518518516,2.631284814814815
122,373.0,4096.0,2.8518518518518516,2.6425074074074075
123,373.0,4096.0,2.8518518518518516,2.650403703703704
124,373.0,4096.0,2.8518518518518516,2.637594444444445
125,373.0,4096.0,2.8518518518518516,2.6494296296296294
126,373.0,4096.0,2.8518518518518516,2.643460740740741
127,373.0,4096.0,2.8518518518518516,2.647835185185185
128,373.0,621378.3703703703,2.8518518518518516,0.017182962962962962
129,373.0,621378.3703703703,2.8518518518518516,0.016787777777777776
130,373.0,621378.3703703703,2.8518518518518516,0.016802962962962964
131,373.0,621378.3703703703,2.8518518518518516,0.01736074074074074
132,373.0,621378.3703703703,2.8518518518518516,0.016925185185185185
133,373.0,621378.3703703703,2.8518518518518516,0.01703962962962963
134,373.0,621378.3703703703,2.8518518518518516,0.017237037037037037
