,Temperature (K),Volume (angstrom^3),E Number,E Loading Mean,E Loading STD
68,453.0,89478485.33333333,8.166666666666666,0.029380260416666665,0.00023367984292342234
69,453.0,23456248059221.332,8.166666666666666,2.3437500000000003e-07,3.746743377588062e-07
70,453.0,1152.0,8.166666666666666,8.125705755208333,0.0005217415564326807
71,453.0,187649984473770.66,8.166666666666666,5.208333333333334e-08,2.0171788261496964e-07
72,453.0,174762.66666666666,8.166666666666666,5.3541544270833334,0.015449420684872173
73,453.0,11184810.666666666,8.166666666666666,0.23331205729166665,0.0021153271063083716
74,453.0,1398101.3333333333,8.166666666666666,1.6683400520833334,0.010946711938031066
75,453.0,715827882.6666666,8.166666666666666,0.003662005208333333,5.237412960651401e-05
76,453.0,366503875925.3333,8.166666666666666,8.359375000000002e-06,2.9718322815015987e-06
77,453.0,45812984490.666664,8.166666666666666,5.536458333333333e-05,5.323467029603713e-06
78,453.0,1.2009599006321322e+16,8.166666666666666,0.0,0.0
79,453.0,1501199875790165.2,8.166666666666666,0.0,0.0
80,363.0,21845.333333333332,8.166666666666666,8.136285572916666,0.00046413671719930887
81,363.0,45812984490.666664,8.166666666666666,0.0007072135416666668,1.6875783643069977e-05
82,363.0,366503875925.3333,8.166666666666666,8.687500000000001e-05,8.41883222965698e-06
83,363.0,9216.0,8.166666666666666,8.153866874999999,0.00023218270987292395
84,363.0,715827882.6666666,8.166666666666666,0.046353125,0.0006776351917698782
85,363.0,1398101.3333333333,8.166666666666666,6.7695611979166666,0.013089718752511694
86,363.0,174762.66666666666,8.166666666666666,7.936474479166667,0.002903846861501443
87,363.0,11184810.666666666,8.166666666666666,3.088866223958333,0.03376572549343905
88,363.0,23456248059221.332,8.166666666666666,1.40625e-06,9.86838297994605e-07
89,363.0,1.2009599006321322e+16,8.166666666666666,0.0,0.0
90,363.0,89478485.33333333,8.166666666666666,0.40279447916666666,0.008222655329407445
91,363.0,1501199875790165.2,8.166666666666666,2.604166666666667e-08,1.4499386361536516e-07
92,363.0,5726623061.333333,8.166666666666666,0.00571046875,6.326645917680892e-05
93,363.0,187649984473770.66,8.166666666666666,1.5625e-07,3.252603124165833e-07
94,363.0,1152.0,8.166666666666666,8.165036302083333,5.2575977389213526e-05
95,363.0,2932031007402.6665,8.166666666666666,1.0703125000000001e-05,3.104861324678787e-06
96,373.0,1501199875790165.2,8.166666666666666,0.0,0.0
