,Temperature (K),Volume (angstrom^3),W Number,W Loading
92,383.0,21845.333333333332,2.5,1.5849725000000001
93,383.0,21845.333333333332,2.5,1.5529216666666665
94,383.0,21845.333333333332,2.5,1.5431591666666666
95,383.0,21845.333333333332,2.5,1.5759125
96,383.0,5726623061.333333,2.5,4.166666666666667e-06
97,383.0,5726623061.333333,2.5,7.5e-06
98,383.0,5726623061.333333,2.5,5e-06
99,383.0,5726623061.333333,2.5,7.5e-06
100,383.0,5726623061.333333,2.5,5e-06
101,383.0,5726623061.333333,2.5,5e-06
102,383.0,5726623061.333333,2.5,7.5e-06
103,383.0,5726623061.333333,2.5,5.833333333333333e-06
104,383.0,5726623061.333333,2.5,1.1666666666666666e-05
105,383.0,5726623061.333333,2.5,1e-05
106,383.0,5726623061.333333,2.5,1.0833333333333332e-05
107,383.0,5726623061.333333,2.5,8.333333333333334e-06
108,383.0,5726623061.333333,2.5,1.0833333333333332e-05
109,383.0,5726623061.333333,2.5,8.333333333333334e-06
110,383.0,5726623061.333333,2.5,5.833333333333333e-06
111,383.0,5726623061.333333,2.5,5.833333333333333e-06
112,383.0,5726623061.333333,2.5,6.6666666666666675e-06
113,383.0,5726623061.333333,2.5,7.5e-06
114,383.0,5726623061.333333,2.5,7.5e-06
115,383.0,5726623061.333333,2.5,7.5e-06
116,383.0,5726623061.333333,2.5,1.3333333333333335e-05
117,383.0,5726623061.333333,2.5,1e-05
118,383.0,5726623061.333333,2.5,7.5e-06
119,383.0,5726623061.333333,2.5,1.0833333333333332e-05
120,383.0,5726623061.333333,2.5,9.166666666666666e-06
121,383.0,5726623061.333333,2.5,1.0833333333333332e-05
122,383.0,5726623061.333333,2.5,1.2499999999999999e-05
123,383.0,5726623061.333333,2.5,1.2499999999999999e-05
124,383.0,5726623061.333333,2.5,1e-05
125,383.0,5726623061.333333,2.5,9.166666666666666e-06
126,383.0,5726623061.333333,2.5,1.2499999999999999e-05
127,383.0,5726623061.333333,2.5,1e-05
128,383.0,2932031007402.6665,2.5,0.0
129,383.0,2932031007402.6665,2.5,0.0
130,383.0,2932031007402.6665,2.5,8.333333333333334e-07
131,383.0,2932031007402.6665,2.5,0.0
132,383.0,2932031007402.6665,2.5,0.0
133,383.0,2932031007402.6665,2.5,0.0
134,383.0,2932031007402.6665,2.5,0.0
135,383.0,2932031007402.6665,2.5,0.0
136,383.0,2932031007402.6665,2.5,0.0
137,383.0,2932031007402.6665,2.5,0.0
138,383.0,2932031007402.6665,2.5,0.0
139,383.0,2932031007402.6665,2.5,0.0
140,383.0,2932031007402.6665,2.5,0.0
141,383.0,2932031007402.6665,2.5,0.0
142,383.0,2932031007402.6665,2.5,0.0
143,383.0,2932031007402.6665,2.5,0.0
144,383.0,2932031007402.6665,2.5,0.0
145,383.0,2932031007402.6665,2.5,0.0
146,383.0,2932031007402.6665,2.5,0.0
147,383.0,2932031007402.6665,2.5,0.0
148,383.0,2932031007402.6665,2.5,0.0
149,383.0,2932031007402.6665,2.5,0.0
150,383.0,2932031007402.6665,2.5,0.0
151,383.0,2932031007402.6665,2.5,0.0
152,383.0,2932031007402.6665,2.5,0.0
153,383.0,2932031007402.6665,2.5,0.0
154,383.0,2932031007402.6665,2.5,0.0
155,383.0,2932031007402.6665,2.5,0.0
156,383.0,2932031007402.6665,2.5,0.0
157,383.0,2932031007402.6665,2.5,0.0
158,383.0,2932031007402.6665,2.5,0.0
159,383.0,2932031007402.6665,2.5,0.0
160,383.0,9216.0,2.5,2.0526383333333333
161,383.0,9216.0,2.5,2.032295
162,383.0,9216.0,2.5,2.054250833333333
163,383.0,9216.0,2.5,2.0394175
164,383.0,9216.0,2.5,2.0412616666666668
165,383.0,9216.0,2.5,2.04119
166,383.0,9216.0,2.5,2.045045
167,383.0,9216.0,2.5,2.0417925
168,383.0,9216.0,2.5,2.0517716666666668
169,383.0,9216.0,2.5,2.0414225
170,383.0,9216.0,2.5,2.0444416666666667
171,383.0,9216.0,2.5,2.0512791666666668
172,383.0,9216.0,2.5,2.0431441666666665
173,383.0,9216.0,2.5,2.0483425
174,383.0,9216.0,2.5,2.0404933333333335
175,383.0,9216.0,2.5,2.049068333333333
176,383.0,9216.0,2.5,2.0314608333333335
177,383.0,9216.0,2.5,2.0515125
178,383.0,9216.0,2.5,2.04204
179,383.0,9216.0,2.5,2.0579283333333334
180,383.0,9216.0,2.5,2.0410708333333334
181,383.0,9216.0,2.5,2.032715
182,383.0,9216.0,2.5,2.0218825
183,383.0,9216.0,2.5,2.0385316666666666
184,383.0,9216.0,2.5,2.0460533333333335
185,383.0,9216.0,2.5,2.030511666666667
186,383.0,9216.0,2.5,2.0491008333333336
187,383.0,9216.0,2.5,2.0459508333333334
188,383.0,9216.0,2.5,2.0369408333333334
189,383.0,9216.0,2.5,2.0658541666666665
190,383.0,9216.0,2.5,2.034683333333333
191,383.0,9216.0,2.5,2.0364833333333334
192,383.0,1152.0,2.5,2.4385850000000002
193,383.0,1152.0,2.5,2.439226666666667
194,383.0,1152.0,2.5,2.4385008333333333
195,383.0,1152.0,2.5,2.4405008333333336
196,383.0,1152.0,2.5,2.4387941666666664
197,383.0,1152.0,2.5,2.44044
198,383.0,1152.0,2.5,2.4368391666666667
199,383.0,1152.0,2.5,2.4371325
200,383.0,1152.0,2.5,2.4381975
201,383.0,1152.0,2.5,2.4404791666666665
202,383.0,1152.0,2.5,2.4367208333333332
203,383.0,1152.0,2.5,2.4405183333333333
204,383.0,1152.0,2.5,2.4315041666666666
205,383.0,1152.0,2.5,2.4338758333333335
206,383.0,1152.0,2.5,2.433595
207,383.0,1152.0,2.5,2.4380908333333333
208,383.0,1152.0,2.5,2.4403183333333334
209,383.0,1152.0,2.5,2.4380083333333333
210,383.0,1152.0,2.5,2.4355966666666666
211,383.0,1152.0,2.5,2.4354058333333333
212,383.0,1152.0,2.5,2.4422383333333335
213,383.0,1152.0,2.5,2.4357608333333336
214,383.0,1152.0,2.5,2.4352408333333333
215,383.0,1152.0,2.5,2.434258333333333
216,383.0,1152.0,2.5,2.438569166666667
217,383.0,1152.0,2.5,2.4352541666666667
218,383.0,1152.0,2.5,2.438493333333333
219,383.0,1152.0,2.5,2.43797
220,383.0,1152.0,2.5,2.4381741666666668
221,383.0,1152.0,2.5,2.431976666666667
222,383.0,1152.0,2.5,2.4366225
223,383.0,1152.0,2.5,2.43792
224,383.0,366503875925.3333,2.5,0.0
225,383.0,366503875925.3333,2.5,0.0
226,383.0,366503875925.3333,2.5,1.6666666666666669e-06
227,383.0,366503875925.3333,2.5,0.0
228,383.0,366503875925.3333,2.5,1.6666666666666669e-06
229,383.0,366503875925.3333,2.5,8.333333333333334e-07
230,383.0,366503875925.3333,2.5,0.0
231,383.0,366503875925.3333,2.5,0.0
232,383.0,366503875925.3333,2.5,0.0
233,383.0,366503875925.3333,2.5,1.6666666666666669e-06
234,383.0,366503875925.3333,2.5,0.0
235,383.0,366503875925.3333,2.5,0.0
236,383.0,366503875925.3333,2.5,0.0
237,383.0,366503875925.3333,2.5,0.0
238,383.0,366503875925.3333,2.5,0.0
239,383.0,366503875925.3333,2.5,0.0
240,383.0,366503875925.3333,2.5,0.0
241,383.0,366503875925.3333,2.5,0.0
242,383.0,366503875925.3333,2.5,0.0
243,383.0,366503875925.3333,2.5,8.333333333333334e-07
244,383.0,366503875925.3333,2.5,0.0
245,383.0,366503875925.3333,2.5,8.333333333333334e-07
246,383.0,366503875925.3333,2.5,8.333333333333334e-07
247,383.0,366503875925.3333,2.5,0.0
248,383.0,366503875925.3333,2.5,0.0
249,383.0,366503875925.3333,2.5,0.0
250,383.0,366503875925.3333,2.5,0.0
251,383.0,366503875925.3333,2.5,0.0
252,383.0,366503875925.3333,2.5,0.0
253,383.0,366503875925.3333,2.5,0.0
254,383.0,366503875925.3333,2.5,0.0
255,383.0,366503875925.3333,2.5,0.0
256,383.0,45812984490.666664,2.5,1.6666666666666669e-06
257,383.0,45812984490.666664,2.5,0.0
258,383.0,45812984490.666664,2.5,3.3333333333333337e-06
259,383.0,45812984490.666664,2.5,8.333333333333334e-07
260,383.0,45812984490.666664,2.5,8.333333333333334e-07
261,383.0,45812984490.666664,2.5,8.333333333333334e-07
262,383.0,45812984490.666664,2.5,0.0
263,383.0,45812984490.666664,2.5,1.6666666666666669e-06
264,383.0,45812984490.666664,2.5,0.0
265,383.0,45812984490.666664,2.5,8.333333333333334e-07
266,383.0,45812984490.666664,2.5,8.333333333333334e-07
267,383.0,45812984490.666664,2.5,0.0
268,383.0,45812984490.666664,2.5,1.6666666666666669e-06
269,383.0,45812984490.666664,2.5,0.0
270,383.0,45812984490.666664,2.5,8.333333333333334e-07
271,383.0,45812984490.666664,2.5,8.333333333333334e-07
272,383.0,45812984490.666664,2.5,2.5e-06
273,383.0,45812984490.666664,2.5,0.0
274,383.0,45812984490.666664,2.5,0.0
275,383.0,45812984490.666664,2.5,1.6666666666666669e-06
276,383.0,45812984490.666664,2.5,3.3333333333333337e-06
277,383.0,45812984490.666664,2.5,2.5e-06
278,383.0,45812984490.666664,2.5,1.6666666666666669e-06
279,383.0,45812984490.666664,2.5,0.0
280,383.0,45812984490.666664,2.5,0.0
281,383.0,45812984490.666664,2.5,2.5e-06
282,383.0,45812984490.666664,2.5,8.333333333333334e-07
283,383.0,45812984490.666664,2.5,8.333333333333334e-07
284,383.0,45812984490.666664,2.5,1.6666666666666669e-06
285,383.0,45812984490.666664,2.5,8.333333333333334e-07
286,383.0,45812984490.666664,2.5,8.333333333333334e-07
287,383.0,45812984490.666664,2.5,2.5e-06
288,383.0,187649984473770.66,2.5,0.0
289,383.0,187649984473770.66,2.5,0.0
290,383.0,187649984473770.66,2.5,0.0
291,383.0,187649984473770.66,2.5,0.0
292,383.0,187649984473770.66,2.5,0.0
293,383.0,187649984473770.66,2.5,0.0
294,383.0,187649984473770.66,2.5,0.0
295,383.0,187649984473770.66,2.5,0.0
296,383.0,187649984473770.66,2.5,0.0
297,383.0,187649984473770.66,2.5,0.0
298,383.0,187649984473770.66,2.5,0.0
299,383.0,187649984473770.66,2.5,0.0
300,383.0,187649984473770.66,2.5,0.0
301,383.0,187649984473770.66,2.5,0.0
302,383.0,187649984473770.66,2.5,0.0
303,383.0,187649984473770.66,2.5,0.0
304,383.0,187649984473770.66,2.5,0.0
305,383.0,187649984473770.66,2.5,0.0
306,383.0,187649984473770.66,2.5,0.0
307,383.0,187649984473770.66,2.5,0.0
308,383.0,187649984473770.66,2.5,0.0
