,Temperature (K),Volume (angstrom^3),W Number,W Loading Mean,W Loading STD
49,393.0,174762.66666666666,2.5,0.2502184375,0.004542362865933979
50,393.0,11184810.666666666,2.5,0.00392015625,5.245510543252668e-05
51,393.0,1398101.3333333333,2.5,0.03116666666666667,0.00029188838299082777
52,393.0,1.2009599006321322e+16,2.5,0.0,0.0
53,393.0,1501199875790165.2,2.5,0.0,0.0
54,393.0,715827882.6666666,2.5,6.041666666666667e-05,8.762392018672122e-06
55,393.0,1152.0,2.5,2.4219934895833335,0.002965004511817795
56,393.0,187649984473770.66,2.5,0.0,0.0
57,393.0,45812984490.666664,2.5,7.291666666666667e-07,7.725206757391317e-07
58,393.0,5726623061.333333,2.5,7.499999999999999e-06,2.282177322938192e-06
59,393.0,21845.333333333332,2.5,1.4183392447916667,0.014165587543702719
60,393.0,23456248059221.332,2.5,0.0,0.0
61,393.0,9216.0,2.5,1.9477616927083332,0.01192493439244337
62,393.0,2932031007402.6665,2.5,0.0,0.0
63,393.0,89478485.33333333,2.5,0.0004895052083333333,1.6869674281777468e-05
64,483.0,21845.333333333332,2.5,0.67679625,0.0054489317449806845
65,483.0,23456248059221.332,2.5,0.0,0.0
66,483.0,45812984490.666664,2.5,3.3854166666666667e-07,4.092769178516071e-07
67,483.0,9216.0,2.5,1.1976248958333333,0.009934522065926743
68,483.0,2932031007402.6665,2.5,5.208333333333334e-08,2.0171788261496967e-07
69,483.0,715827882.6666666,2.5,2.7083333333333332e-05,4.597515935565398e-06
70,483.0,1398101.3333333333,2.5,0.013615338541666668,9.833153674537263e-05
71,483.0,187649984473770.66,2.5,0.0,0.0
72,483.0,366503875925.3333,2.5,5.208333333333334e-08,2.0171788261496964e-07
73,483.0,174762.66666666666,2.5,0.10538031250000002,0.0008429630267672072
74,483.0,89478485.33333333,2.5,0.00021690104166666667,1.340999182920612e-05
75,483.0,11184810.666666666,2.5,0.0017186718750000001,3.22310313610267e-05
76,483.0,1152.0,2.5,2.2141059895833335,0.0036358147312958787
77,483.0,1.2009599006321322e+16,2.5,0.0,0.0
78,483.0,5726623061.333333,2.5,3.619791666666667e-06,1.3438610257750694e-06
79,483.0,1501199875790165.2,2.5,0.0,0.0
80,423.0,21845.333333333332,2.5,1.0700391145833335,0.01107556333597046
81,423.0,366503875925.3333,2.5,1.5625e-07,3.8626033786956585e-07
82,423.0,187649984473770.66,2.5,0.0,0.0
83,423.0,11184810.666666666,2.5,0.00283375,5.264612600499045e-05
84,423.0,174762.66666666666,2.5,0.17591127604166668,0.0020364828641358684
85,423.0,1398101.3333333333,2.5,0.022545416666666665,0.00020424605174342443
86,423.0,715827882.6666666,2.5,4.2994791666666665e-05,5.693485003438141e-06
87,423.0,9216.0,2.5,1.6620072656250002,0.011146911416385998
88,423.0,1501199875790165.2,2.5,0.0,0.0
89,423.0,1.2009599006321322e+16,2.5,0.0,0.0
90,423.0,45812984490.666664,2.5,8.59375e-07,8.458532171308186e-07
91,423.0,5726623061.333333,2.5,5.442708333333334e-06,2.214460593572645e-06
92,423.0,23456248059221.332,2.5,0.0,0.0
93,423.0,1152.0,2.5,2.3635734114583333,0.004011703085666037
94,423.0,2932031007402.6665,2.5,0.0,0.0
95,423.0,89478485.33333333,2.5,0.00035651041666666665,2.1258614981637448e-05
96,433.0,23456248059221.332,2.5,0.0,0.0
97,433.0,5726623061.333333,2.5,4.973958333333333e-06,2.014319129090384e-06
98,433.0,21845.333333333332,2.5,0.9778135156250001,0.01170193462781306
99,433.0,1398101.3333333333,2.5,0.020468515625,0.00016003630967871543
100,433.0,11184810.666666666,2.5,0.002558984375,4.419207915482191e-05
101,433.0,174762.66666666666,2.5,0.15875299479166666,0.0017072270027841542
102,433.0,9216.0,2.5,1.565785,0.013376920173043294
103,433.0,89478485.33333333,2.5,0.00032307291666666666,1.8297120366748366e-05
104,433.0,2932031007402.6665,2.5,2.604166666666667e-08,1.449938636153652e-07
105,433.0,1.2009599006321322e+16,2.5,0.0,0.0
106,433.0,1501199875790165.2,2.5,0.0,0.0
107,433.0,366503875925.3333,2.5,2.604166666666667e-08,1.449938636153652e-07
108,433.0,715827882.6666666,2.5,4.106770833333333e-05,5.296070899306967e-06
109,433.0,1152.0,2.5,2.3418529166666664,0.004035403034093316
110,433.0,187649984473770.66,2.5,0.0,0.0
111,433.0,45812984490.666664,2.5,3.9062500000000007e-07,5.88679924763402e-07
112,493.0,174762.66666666666,2.5,0.09843770833333333,0.0006358405348543692
113,493.0,11184810.666666666,2.5,0.0015965104166666667,3.3632406699223065e-05
114,493.0,1398101.3333333333,2.5,0.012756979166666666,0.0001213819710636863
115,493.0,5726623061.333333,2.5,3.515625e-06,1.512884119612272e-06
116,493.0,1501199875790165.2,2.5,0.0,0.0
117,493.0,1.2009599006321322e+16,2.5,0.0,0.0
118,493.0,89478485.33333333,2.5,0.00019908854166666667,1.3322520640126527e-05
119,493.0,187649984473770.66,2.5,0.0,0.0
120,493.0,1152.0,2.5,2.1868323177083333,0.004434614646519323
121,493.0,366503875925.3333,2.5,7.8125e-08,2.429004961741879e-07
122,493.0,715827882.6666666,2.5,2.6328124999999998e-05,4.535064845296225e-06
123,493.0,2932031007402.6665,2.5,2.604166666666667e-08,1.449938636153652e-07
124,493.0,21845.333333333332,2.5,0.637094765625,0.005806161015622906
125,493.0,9216.0,2.5,1.1380026562499999,0.008118160856750264
126,493.0,45812984490.666664,2.5,3.90625e-07,4.651190390492644e-07
127,493.0,23456248059221.332,2.5,0.0,0.0
128,343.0,715827882.6666666,2.5,0.00012088541666666666,9.309813883671956e-06
129,343.0,23456248059221.332,2.5,0.0,0.0
130,343.0,1501199875790165.2,2.5,0.0,0.0
131,343.0,1.2009599006321322e+16,2.5,0.0,0.0
132,343.0,1152.0,2.5,2.476895390625,0.009801442708396998
133,343.0,187649984473770.66,2.5,0.0,0.0
134,343.0,2932031007402.6665,2.5,7.8125e-08,2.429004961741879e-07
135,343.0,11184810.666666666,2.5,0.00787546875,0.0001014281563395368
136,343.0,174762.66666666666,2.5,0.6439421093750001,0.025723361716932635
137,343.0,1398101.3333333333,2.5,0.06527083333333333,0.0016595821041505206
138,343.0,45812984490.666664,2.5,2.2395833333333334e-06,1.5789069157525124e-06
139,343.0,21845.333333333332,2.5,2.1143964322916666,0.02412304054293764
140,343.0,366503875925.3333,2.5,1.3020833333333334e-07,3.6736291613713243e-07
141,343.0,9216.0,2.5,2.334120859375,0.008761596716212811
142,343.0,5726623061.333333,2.5,1.6380208333333335e-05,4.053726503812058e-06
143,343.0,89478485.33333333,2.5,0.0009896354166666667,2.4111770894310565e-05
144,473.0,21845.333333333332,2.5,0.7218016927083333,0.006542023296689318
145,473.0,715827882.6666666,2.5,2.9322916666666667e-05,5.1388595626040096e-06
146,473.0,9216.0,2.5,1.2595355208333334,0.007775404377072387
147,473.0,366503875925.3333,2.5,5.208333333333334e-08,2.0171788261496967e-07
148,473.0,45812984490.666664,2.5,5.468750000000001e-07,6.785840739997595e-07
149,473.0,23456248059221.332,2.5,0.0,0.0
150,473.0,187649984473770.66,2.5,0.0,0.0
151,473.0,5726623061.333333,2.5,3.90625e-06,2.118838084042499e-06
152,473.0,1152.0,2.5,2.238696614583333,0.0053410820416616035
153,473.0,89478485.33333333,2.5,0.00022973958333333331,1.4004025803863607e-05
154,473.0,1.2009599006321322e+16,2.5,0.0,0.0
155,473.0,1501199875790165.2,2.5,0.0,0.0
156,473.0,2932031007402.6665,2.5,2.604166666666667e-08,1.449938636153652e-07
157,473.0,11184810.666666666,2.5,0.0018373177083333332,3.5512575026686506e-05
158,473.0,174762.66666666666,2.5,0.11350752604166667,0.0009629361494759997
159,473.0,1398101.3333333333,2.5,0.014660546875,0.00011013103964374508
160,463.0,9216.0,2.5,1.3250261979166666,0.009156012883110734
161,463.0,1.2009599006321322e+16,2.5,0.0,0.0
162,463.0,1501199875790165.2,2.5,0.0,0.0
163,463.0,366503875925.3333,2.5,5.208333333333334e-08,2.0171788261496967e-07
164,463.0,21845.333333333332,2.5,0.7743590625,0.006074855807295114
165,463.0,89478485.33333333,2.5,0.0002515625,1.2591246821811482e-05
166,463.0,174762.66666666666,2.5,0.12214841145833333,0.0009487446557677529
167,463.0,5726623061.333333,2.5,3.828125e-06,1.6252587267322836e-06
168,463.0,11184810.666666666,2.5,0.00199515625,3.2737803536308646e-05
169,463.0,1398101.3333333333,2.5,0.015814322916666665,0.00011081442458925866
170,463.0,187649984473770.66,2.5,0.0,0.0
171,463.0,45812984490.666664,2.5,5.468750000000001e-07,7.098444359603652e-07
172,463.0,23456248059221.332,2.5,0.0,0.0
173,463.0,2932031007402.6665,2.5,2.604166666666667e-08,1.4499386361536516e-07
174,463.0,1152.0,2.5,2.2670425,0.004214610160155154
175,463.0,715827882.6666666,2.5,3.0520833333333334e-05,4.102368472399003e-06
176,353.0,11184810.666666666,2.5,0.0067215625,8.960628339745794e-05
177,353.0,174762.66666666666,2.5,0.5057378385416667,0.013306969836061649
