,Temperature (K),Volume (angstrom^3),W Number,W Loading Mean,W Loading STD
48,363.0,162890611522.37036,2.8518518518518516,6.944444444444445e-08,1.7167126127536257e-07
49,363.0,2545165805.037037,2.8518518518518516,4.0972222222222215e-06,1.3125224539198923e-06
50,363.0,512.0,2.8518518518518516,2.8329237731481482,0.0014535822031010541
51,363.0,77672.29629629629,2.8518518518518516,0.45174619212962963,0.11735389609052384
52,363.0,4971026.962962963,2.8518518518518516,0.0022967592592592592,2.7410848132374146e-05
53,363.0,621378.3703703703,2.8518518518518516,0.01861115740740741,0.00032124282763019155
54,363.0,39768215.7037037,2.8518518518518516,0.0002865277777777778,9.286418501613288e-06
55,363.0,83399993099453.62,2.8518518518518516,0.0,0.0
56,363.0,318145725.6296296,2.8518518518518516,3.655092592592593e-05,4.432311274093086e-06
57,363.0,10424999137431.703,2.8518518518518516,0.0,0.0
58,363.0,1303124892178.963,2.8518518518518516,0.0,0.0
59,363.0,4096.0,2.8518518518518516,2.7033435185185186,0.006977950542039378
60,363.0,20361326440.296295,2.8518518518518516,5.324074074074074e-07,5.150137838260877e-07
61,363.0,9709.037037037036,2.8518518518518516,2.504515173611111,0.022965015932437934
62,363.0,667199944795629.0,2.8518518518518516,0.0,0.0
63,363.0,5337599558365032.0,2.8518518518518516,0.0,0.0
64,343.0,20361326440.296295,2.8518518518518516,6.365740740740741e-07,5.873201137206145e-07
65,343.0,162890611522.37036,2.8518518518518516,6.944444444444445e-08,1.445601388518148e-07
66,343.0,318145725.6296296,2.8518518518518516,4.322916666666666e-05,3.699342774044673e-06
67,343.0,512.0,2.8518518518518516,2.843140034722222,0.0015937174143616456
68,343.0,621378.3703703703,2.8518518518518516,0.02312863425925926,0.0005939074492524964
69,343.0,77672.29629629629,2.8518518518518516,1.5138195138888888,0.09022497963972999
70,343.0,4971026.962962963,2.8518518518518516,0.0027553703703703707,3.711404032204062e-05
71,343.0,4096.0,2.8518518518518516,2.7818678819444447,0.00941649818908353
72,343.0,1303124892178.963,2.8518518518518516,1.1574074074074076e-08,6.444171716238451e-08
73,343.0,83399993099453.62,2.8518518518518516,0.0,0.0
74,343.0,39768215.7037037,2.8518518518518516,0.0003409606481481482,1.036576426105217e-05
75,343.0,9709.037037037036,2.8518518518518516,2.6782159606481484,0.03401761325011239
76,343.0,2545165805.037037,2.8518518518518516,5.185185185185185e-06,1.3576739165384427e-06
77,343.0,667199944795629.0,2.8518518518518516,0.0,0.0
78,343.0,5337599558365032.0,2.8518518518518516,0.0,0.0
79,343.0,10424999137431.703,2.8518518518518516,0.0,0.0
80,473.0,5337599558365032.0,2.8518518518518516,0.0,0.0
81,473.0,667199944795629.0,2.8518518518518516,0.0,0.0
82,473.0,162890611522.37036,2.8518518518518516,5.787037037037038e-08,1.3447858840997979e-07
83,473.0,2545165805.037037,2.8518518518518516,2.314814814814815e-06,7.290748031492418e-07
84,473.0,621378.3703703703,2.8518518518518516,0.009125115740740741,5.547999780905748e-05
85,473.0,4971026.962962963,2.8518518518518516,0.001141539351851852,1.6762867775778843e-05
86,473.0,77672.29629629629,2.8518518518518516,0.07269538194444444,0.000526335985357219
