,Temperature (K),Volume (angstrom^3),E Number,E Loading
56,463.0,89478485.33333333,8.166666666666666,0.023886666666666667
57,463.0,89478485.33333333,8.166666666666666,0.023903333333333332
58,463.0,89478485.33333333,8.166666666666666,0.023575833333333334
59,463.0,89478485.33333333,8.166666666666666,0.02375416666666667
60,463.0,89478485.33333333,8.166666666666666,0.02402333333333333
61,463.0,89478485.33333333,8.166666666666666,0.023553333333333332
62,463.0,89478485.33333333,8.166666666666666,0.023715833333333335
63,463.0,89478485.33333333,8.166666666666666,0.023855833333333337
64,463.0,5726623061.333333,8.166666666666666,0.0003675
65,463.0,5726623061.333333,8.166666666666666,0.00035833333333333333
66,463.0,5726623061.333333,8.166666666666666,0.0003791666666666667
67,463.0,5726623061.333333,8.166666666666666,0.00037000000000000005
68,463.0,5726623061.333333,8.166666666666666,0.0003858333333333333
69,463.0,5726623061.333333,8.166666666666666,0.0003908333333333333
70,463.0,5726623061.333333,8.166666666666666,0.000355
71,463.0,5726623061.333333,8.166666666666666,0.00036
72,463.0,5726623061.333333,8.166666666666666,0.0003916666666666667
73,463.0,5726623061.333333,8.166666666666666,0.00039
74,463.0,5726623061.333333,8.166666666666666,0.0003416666666666667
75,463.0,5726623061.333333,8.166666666666666,0.00040583333333333335
76,463.0,5726623061.333333,8.166666666666666,0.00035666666666666664
77,463.0,5726623061.333333,8.166666666666666,0.0003791666666666667
78,463.0,5726623061.333333,8.166666666666666,0.0003625
79,463.0,5726623061.333333,8.166666666666666,0.0003483333333333333
80,463.0,5726623061.333333,8.166666666666666,0.0003533333333333333
81,463.0,5726623061.333333,8.166666666666666,0.0003708333333333333
82,463.0,5726623061.333333,8.166666666666666,0.0003891666666666666
83,463.0,5726623061.333333,8.166666666666666,0.00035916666666666665
84,463.0,5726623061.333333,8.166666666666666,0.00035166666666666663
85,463.0,5726623061.333333,8.166666666666666,0.0003541666666666667
86,463.0,5726623061.333333,8.166666666666666,0.00038833333333333336
87,463.0,5726623061.333333,8.166666666666666,0.0003716666666666667
88,463.0,5726623061.333333,8.166666666666666,0.00036500000000000004
89,463.0,5726623061.333333,8.166666666666666,0.0003608333333333333
90,463.0,5726623061.333333,8.166666666666666,0.0003791666666666667
91,463.0,5726623061.333333,8.166666666666666,0.0003758333333333333
92,463.0,5726623061.333333,8.166666666666666,0.000355
93,463.0,5726623061.333333,8.166666666666666,0.0003466666666666666
94,463.0,5726623061.333333,8.166666666666666,0.00036333333333333335
