"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
393,24,-1.872073e+01,3.885016e-02
483,32768,-1.393675e+01,1.290903e+00
383,512,-1.988303e+01,1.783701e-02
463,2048,-1.498419e+01,2.750427e-02
493,128,-1.353161e+01,1.915439e-02
373,2048,-1.947098e+01,4.182056e-02
373,4096,-1.944087e+01,2.617989e-02
353,262144,-1.982093e+01,2.226645e+00
453,4096,-1.544459e+01,6.481748e-02
423,16384,-1.688791e+01,2.077915e-01
493,8192,-1.367735e+01,1.540722e-01
463,32768,-1.461665e+01,9.389583e-01
393,4096,-1.838377e+01,2.080413e-02
403,4096,-1.786181e+01,2.427908e-02
363,24,-2.111600e+01,5.505911e-02
433,1024,-1.643052e+01,3.427361e-02
463,64,-1.400261e+01,2.660448e-02
353,4096,-2.054518e+01,2.050897e-02
423,128,-1.722787e+01,2.463145e-02
483,16384,-1.391382e+01,5.139678e-01
353,32768,-2.040449e+01,1.004359e-01
403,32768,-1.775308e+01,4.515618e-01
433,32768,-1.630284e+01,7.476794e-01
343,1024,-2.216554e+01,6.871956e-02
433,4096,-1.638529e+01,2.139868e-02
423,2048,-1.688484e+01,1.289024e-02
483,128,-1.402359e+01,1.914388e-02
383,131072,-1.840811e+01,2.540130e+00
463,65536,-1.453760e+01,2.176972e+00
443,65536,-1.440283e+01,3.362721e+00
423,256,-1.768869e+01,4.458243e-02
343,256,-2.296672e+01,3.412487e-02
393,64,-1.882867e+01,2.933187e-02
413,262144,-2.188573e+01,0.000000e+00
403,64,-1.806842e+01,3.265979e-02
403,65536,-1.684122e+01,1.717405e+00
343,128,-2.278172e+01,3.439314e-02
443,24,-1.489883e+01,4.112892e-02
