"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
473,256,-2.529526e+01,9.127303e-02
373,48,-3.751973e+01,1.956546e+00
483,1024,-2.630439e+01,6.758341e-02
483,262144,-3.184890e+01,1.344052e+00
383,32768,-3.049552e+01,2.718432e-01
393,524288,-3.811311e+01,2.080518e+00
353,512,-4.048684e+01,4.864289e-01
413,48,-2.748026e+01,1.481422e+00
353,24,-3.728382e+01,4.817579e+00
343,128,-4.038497e+01,3.187706e+00
423,16384,-2.873500e+01,9.039014e-02
453,256,-2.582527e+01,1.759283e-01
393,65536,-3.004389e+01,4.913914e-01
403,524288,-3.458951e+01,0.000000e+00
443,4096,-2.795237e+01,7.625213e-02
483,64,-1.543496e+01,2.381178e-01
443,128,-2.301065e+01,3.584951e-01
373,16384,-3.774204e+01,6.908214e+00
423,8192,-2.874800e+01,1.485501e-01
473,65536,-2.657674e+01,2.340770e+00
433,64,-2.257022e+01,6.799360e-01
413,2048,-3.022819e+01,2.612338e-01
393,262144,-3.116447e+01,3.132426e+00
473,131072,-2.755769e+01,4.167119e+00
353,64,-4.156613e+01,4.116854e+00
443,24,-2.110466e+01,1.186760e+00
343,4096,-4.348678e+01,4.485707e-01
393,16384,-3.001082e+01,9.590301e-02
493,32768,-2.539618e+01,1.108300e+00
463,4096,-2.708284e+01,7.312097e-02
363,262144,-3.068151e+01,2.205677e+00
393,2048,-3.527763e+01,6.112386e-01
433,128,-2.396042e+01,3.888540e-01
483,4096,-2.627653e+01,5.688036e-02
443,1024,-2.884401e+01,1.806141e-01
483,256,-2.506299e+01,8.293791e-02
423,256,-2.787596e+01,2.372032e-01
433,4096,-2.837754e+01,2.655449e-01
383,65536,-3.034039e+01,4.069582e-01
463,1024,-2.742320e+01,1.330150e-01
453,2048,-2.754288e+01,7.433558e-02
413,1024,-3.263537e+01,1.853762e-01
383,512,-3.457110e+01,3.715104e-01
373,24,-3.783343e+01,3.241703e+00
403,262144,-3.316034e+01,2.544579e+00
453,524288,-4.252509e+01,0.000000e+00
423,1024,-3.100813e+01,2.433242e-01
353,256,-4.120999e+01,1.096315e+00
383,64,-3.400260e+01,2.216387e+00
433,1024,-2.981816e+01,1.531810e-01
433,32768,-2.837006e+01,2.249302e-01
423,4096,-2.876451e+01,1.447996e-01
483,24,-1.076856e+01,8.028657e-01
393,32768,-2.993516e+01,1.759604e-01
363,1024,-3.938713e+01,2.635855e-01
443,65536,-2.675540e+01,1.943014e+00
413,16384,-2.911690e+01,1.056263e-01
