"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
413,24,-3.016414e+01,1.654483e+00
393,131072,-3.310646e+01,7.854971e-01
353,48,-3.489159e+01,2.675868e+00
353,1024,-4.036112e+01,7.266467e-01
413,48,-3.037379e+01,1.103795e+00
383,1024,-3.929764e+01,2.412610e-01
423,131072,-3.045326e+01,8.963734e-01
483,8192,-2.650659e+01,1.044156e-01
413,16384,-3.154589e+01,1.739744e-01
443,65536,-2.940037e+01,7.329506e-01
433,64,-2.695194e+01,1.114752e+00
493,2048,-2.576716e+01,1.227941e-01
493,24,-1.692578e+01,9.784545e-01
423,8192,-3.082897e+01,1.101351e-01
423,2048,-3.227007e+01,1.509670e-01
493,131072,-2.715091e+01,1.488636e+00
393,16384,-3.312725e+01,1.467634e-01
393,1024,-3.821253e+01,2.335263e-01
353,24,-3.760860e+01,0.000000e+00
443,262144,-3.024650e+01,5.283873e-01
403,16384,-3.237840e+01,2.124341e-01
473,48,-2.084567e+01,3.450287e-01
443,131072,-2.997442e+01,8.213235e-01
493,65536,-2.434672e+01,2.060139e+00
363,16384,-3.561309e+01,1.833836e-01
343,4096,-4.612369e+01,2.530185e-01
493,8192,-2.578326e+01,1.673575e-01
413,4096,-3.175228e+01,1.439221e-01
383,131072,-3.382440e+01,5.993472e-01
483,64,-2.051699e+01,1.498745e-01
443,128,-2.693336e+01,6.287716e-01
473,128,-2.423460e+01,3.299537e-01
383,8192,-3.402200e+01,1.554799e-01
453,256,-2.871164e+01,1.493298e-01
463,524288,-4.011409e+01,0.000000e+00
443,64,-2.537742e+01,7.882169e-01
343,131072,-3.730777e+01,3.027035e-01
433,2048,-3.084113e+01,2.115251e-01
393,512,-3.556118e+01,3.601597e-01
483,48,-1.948655e+01,5.305084e-01
443,256,-2.931776e+01,2.155723e-01
433,128,-2.812993e+01,6.113167e-01
393,32768,-3.316216e+01,1.877199e-01
463,131072,-2.524806e+01,3.610426e+00
473,32768,-2.710588e+01,5.105433e-01
393,24,-3.324138e+01,1.813011e+00
443,24,-2.423034e+01,1.783542e+00
453,16384,-2.868927e+01,2.017118e-01
393,256,-3.358677e+01,6.940034e-01
423,4096,-3.102187e+01,1.273263e-01
403,48,-3.284901e+01,1.087505e+00
