"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
383,8192,-4.131853e+03,3.990439e+03
383,4096,-3.140309e+03,2.290042e+03
453,1024,-1.215953e+04,1.082023e+04
463,262144,-2.235399e+04,2.235399e+04
423,24,-3.727972e+06,3.727952e+06
473,524288,-2.713411e+04,2.713411e+04
413,8192,-6.133731e+03,6.073810e+03
343,512,-2.522479e+06,2.521139e+06
433,2048,-3.210340e+03,2.396382e+03
413,524288,-3.594827e+04,3.594827e+04
483,24,-3.398855e+06,3.398806e+06
423,1024,-2.470886e+04,2.276653e+04
493,512,-3.882175e+04,3.766448e+04
403,131072,-2.881481e+04,2.881481e+04
403,24,-3.840235e+06,3.840219e+06
363,4096,-3.435425e+03,2.605258e+03
343,524288,-1.421765e+04,1.421765e+04
463,48,-3.354138e+06,3.353910e+06
443,16384,-2.685838e+04,2.685521e+04
423,65536,-3.522104e+04,3.522101e+04
393,24,-3.902263e+06,3.902253e+06
483,32768,-1.914901e+04,1.914892e+04
383,512,-7.054941e+05,7.038774e+05
463,2048,-3.043463e+03,2.243331e+03
433,524288,-3.028712e+04,3.028712e+04
493,128,-1.427553e+06,1.426029e+06
373,2048,-1.540083e+04,1.342899e+04
373,4096,-3.434474e+03,2.430553e+03
353,262144,-1.730643e+04,1.730643e+04
353,256,-3.617360e+06,3.616898e+06
453,4096,-2.372467e+03,2.205522e+03
423,16384,-2.567231e+04,2.566755e+04
493,8192,-2.523002e+04,2.522094e+04
463,32768,-2.214240e+04,2.214183e+04
393,4096,-2.310449e+03,1.691593e+03
403,4096,-2.782451e+03,2.253054e+03
363,24,-4.082527e+06,4.082524e+06
433,1024,-1.921900e+04,1.755466e+04
463,64,-3.154861e+06,3.154380e+06
353,4096,-4.985078e+03,3.816709e+03
423,128,-2.944522e+06,2.943783e+06
483,16384,-2.811405e+04,2.811287e+04
353,32768,-2.569908e+04,2.569175e+04
403,32768,-2.924501e+04,2.924403e+04
433,32768,-2.649460e+04,2.649414e+04
363,262144,-4.292959e+04,4.292955e+04
343,1024,-4.702360e+05,4.681046e+05
433,4096,-4.298772e+03,4.035352e+03
483,262144,-2.534823e+04,2.534823e+04
423,2048,-4.226778e+03,3.144993e+03
483,128,-1.610722e+06,1.609767e+06
383,131072,-3.261024e+04,3.261018e+04
463,65536,-3.780748e+04,3.780748e+04
443,65536,-2.263358e+04,2.263353e+04
423,256,-1.272567e+06,1.270374e+06
413,32768,-2.736221e+04,2.736130e+04
393,64,-3.849713e+06,3.849657e+06
413,262144,-3.432919e+04,3.432919e+04
403,64,-3.769132e+06,3.769042e+06
403,65536,-3.251245e+04,3.251224e+04
343,128,-4.145328e+06,4.145266e+06
443,24,-3.618137e+06,3.618114e+06
473,131072,-5.446144e+04,5.446144e+04
