"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
383,64,-4.409835e+06,4.409662e+06
433,1024,-2.945706e+05,2.826020e+05
493,262144,-1.628144e+03,1.628144e+03
423,4096,-6.703878e+03,4.740771e+03
483,24,-3.229735e+06,3.223638e+06
393,32768,-6.143169e+03,6.124539e+03
363,1024,-4.377840e+06,4.370833e+06
443,65536,-2.785445e+03,2.784960e+03
413,16384,-4.182067e+03,4.110926e+03
493,4096,-3.688874e+03,3.333508e+03
473,64,-3.043429e+06,3.033818e+06
393,1024,-2.542462e+06,2.521464e+06
373,131072,-2.515089e+03,2.514381e+03
393,131072,-3.585366e+03,3.584711e+03
423,512,-2.092664e+06,2.071381e+06
383,262144,-3.633937e+03,3.633937e+03
433,2048,-2.412785e+04,2.207631e+04
403,32768,-1.869081e+03,1.853726e+03
443,16384,-4.367379e+03,4.341685e+03
403,16384,-3.374148e+03,3.258126e+03
353,262144,-3.321648e+03,3.321059e+03
383,4096,-1.625067e+05,1.259444e+05
473,1024,-5.066983e+04,4.797129e+04
483,32768,-2.396604e+03,2.396138e+03
403,48,-4.246303e+06,4.245888e+06
353,131072,-9.736496e+03,9.734945e+03
