,Temperature (K),Volume (angstrom^3),C5 Number,E Number,C5 Loading,E Loading
43,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.390565,5.687104166666667
44,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.39732,5.6165191666666665
45,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3961366666666666,5.6672625
46,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.390205,5.614805833333333
47,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3972025,5.6014275
48,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3981225,5.723412499999999
49,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3959458333333337,5.607794166666667
50,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3995583333333332,5.613387500000001
51,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3978408333333334,5.6163549999999995
52,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3924466666666664,5.595963333333334
53,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.394251666666667,5.655084166666666
54,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3951841666666667,5.627602499999999
55,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3905008333333337,5.771699166666667
56,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3886325,5.759638333333334
57,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.39728,5.639930833333334
58,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3898808333333332,5.621042500000001
59,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3957208333333333,5.697276666666667
60,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3920549999999996,5.6974175
61,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3962375,5.667431666666666
62,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3977233333333334,5.5689400000000004
63,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3976558333333333,5.6442375
64,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2483041666666665,0.029249325000000003
65,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2652400000000001,0.028957425
66,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2442916666666666,0.027848458333333336
67,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2717141666666667,0.027177725
68,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.24503,0.027390225
69,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2755358333333333,0.026648608333333334
70,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2458858333333334,0.0276243
71,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.23579,0.028330791666666664
72,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2409733333333333,0.027312433333333334
73,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.20984,0.028788341666666665
74,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.25989,0.028460441666666666
75,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2511166666666667,0.027441491666666665
76,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2972441666666665,0.028905441666666667
77,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2202283333333332,0.027107383333333332
78,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2658108333333333,0.028380766666666668
79,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2320858333333333,0.028125633333333334
80,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.289625,0.02998615
81,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2937524999999999,0.027022675
82,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2682358333333335,0.02747844166666667
83,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2445266666666666,0.028332491666666668
84,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2240875,0.027262433333333332
85,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2646766666666667,0.027362808333333336
86,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2890175,0.02809915
87,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2279666666666667,0.029256016666666666
88,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2520266666666666,0.02763869166666667
89,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.27515,0.026968416666666665
90,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2523683333333333,0.028848433333333336
91,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2787858333333333,0.028690566666666667
92,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2420383333333334,0.028078699999999998
93,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2719291666666666,0.0280268
94,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.2439225,0.027577333333333332
95,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.254985,0.02757500833333333
96,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
97,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
98,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
99,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
100,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
101,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
102,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
103,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,3.3519700000000003e-06,0.0
104,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,3.3506225e-06,0.0
105,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
106,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
107,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,3.3503533333333335e-06,0.0
108,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
109,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
110,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
111,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0,0.0
