,Temperature (K),Volume (angstrom^3),C5 Number,E Number,C5 Loading Mean,C5 Loading STD,E Loading Mean,E Loading STD
40,343.0,1398101.3333333333,3.4166666666666665,8.166666666666666,3.4166106510416667,8.666534814071685e-05,6.530883567708333,0.04487553897909954
41,343.0,45812984490.666664,3.4166666666666665,8.166666666666666,3.1708904166666665,0.043202272310251186,0.005364617838541667,0.0017123027424120621
42,343.0,23456248059221.332,3.4166666666666665,8.166666666666666,0.004937340859375,0.0008374750820642328,3.2890717708333333e-06,2.7359826784355683e-06
43,343.0,5726623061.333333,3.4166666666666665,8.166666666666666,3.3755026302083335,0.006428744430498344,0.04335827786458333,0.007559395847412403
44,343.0,89478485.33333333,3.4166666666666665,8.166666666666666,3.4160695833333334,0.00013556994530295184,1.9127249479166668,0.13018499337880293
45,343.0,9216.0,3.4166666666666665,8.166666666666666,3.4166666666666665,0.0,7.997719583333334,0.027832838939596316
46,343.0,2932031007402.6665,3.4166666666666665,8.166666666666666,0.04695187213541667,0.011335257679868099,2.5786545052083335e-05,6.771070869716627e-06
47,343.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.4166589062499995,4.320817135739144e-05,7.882875807291667,0.03152904463125324
48,473.0,1152.0,3.4166666666666665,8.166666666666666,3.321630442708333,0.021789195624503096,6.688007838541666,0.08370774942835467
49,473.0,89478485.33333333,3.4166666666666665,8.166666666666666,0.8813481510416667,0.021595858760731678,0.02205441015625,0.0008211296026418637
50,473.0,1.2009599006321322e+16,3.4166666666666665,8.166666666666666,0.0,0.0,0.0,0.0
51,473.0,23456248059221.332,3.4166666666666665,8.166666666666666,3.88409328125e-06,3.475630934153221e-06,0.0,0.0
52,473.0,1501199875790165.2,3.4166666666666665,8.166666666666666,1.0387580729166667e-07,5.783560179987407e-07,0.0,0.0
53,473.0,1398101.3333333333,3.4166666666666665,8.166666666666666,3.2298286197916664,0.005492374300835331,1.1043126041666667,0.018939700591511302
54,473.0,174762.66666666666,3.4166666666666665,8.166666666666666,3.3681579166666666,0.0023542945024288596,3.4518810677083334,0.03760143706519487
55,473.0,11184810.666666666,3.4166666666666665,8.166666666666666,2.5155321875000003,0.018399733549538427,0.17782330729166668,0.004661643932591778
56,473.0,187649984473770.66,3.4166666666666665,8.166666666666666,4.2342674479166666e-07,1.4068650514266808e-06,0.0,0.0
57,473.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.7267347864583332e-05,9.88978081872541e-06,9.570815364583334e-07,1.5300074263012953e-06
58,473.0,5726623061.333333,3.4166666666666665,8.166666666666666,0.01389893203125,0.0004403513076655967,0.00030130316666666663,2.586481248356337e-05
59,473.0,366503875925.3333,3.4166666666666665,8.166666666666666,0.00021834883593749998,2.4730369124386763e-05,5.611176458333333e-06,3.304572543565943e-06
60,473.0,45812984490.666664,3.4166666666666665,8.166666666666666,0.0016976985156249998,7.945465150771494e-05,3.949046484375e-05,1.1099880052228567e-05
61,473.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3848440885416666,0.0034224072034088936,5.4761661718750005,0.05434093563045764
62,473.0,715827882.6666666,3.4166666666666665,8.166666666666666,0.11339377864583333,0.002815476545646212,0.0024989517187499997,8.175208993063602e-05
63,473.0,9216.0,3.4166666666666665,8.166666666666666,3.3859697916666667,0.005038957932808185,6.037491093750001,0.05415665764634579
64,453.0,1398101.3333333333,3.4166666666666665,8.166666666666666,3.343080703125,0.003292287600383088,1.6102819531249999,0.033170292897196765
65,453.0,11184810.666666666,3.4166666666666665,8.166666666666666,2.9917073697916665,0.014043685704417795,0.2981456640625,0.010921365817996641
66,453.0,1152.0,3.4166666666666665,8.166666666666666,3.383225729166667,0.018018643840678042,6.905757578125001,0.10687090015149557
67,453.0,174762.66666666666,3.4166666666666665,8.166666666666666,3.396958645833333,0.002003565092385815,4.134636822916667,0.04524743832644882
